Unit 6. LOBAL WARMING
absorb 			 		(v) 	thấm, hút 
atmosphere 		 		(n) 	khí quyển
awareness 		 		(n) 	sự nhận thức, hiểu biết, quan tâm
ban 			 			(v)	cấm
capture 		 		(v) 	lưu lại, giam giữ lại
carbon footprint 	 	(n) 	lượng khí CO, thải ra hằng ngày của một cá nhân hoặc nhà máy...
catastrophic 		 		(adj) 	thảm họa
clean-up 		 		(n) 	sự dọn dẹp, làm sạch, tổng vệ sinh
climate change 	 	(n) 	biến đổi khí hậu
diversity 		 		(n) 	sự đa dạng
drought 		 			(n) 	hạn hán
ecological 		 		(adj) 	thuộc về sinh thái
ecosystem 		 		(n) 	hệ sinh thái
emission 		 		(n)	(danh từ không đếm được) sự phát (sáng), tỏa (nhiệt), xả (khí)
famine 		 		(n)	nạn đói kém
greenhouse gas 		(n) 	chất khí gây hiệu ứng nhà kính 
heat-related 		 	(adj) 	có liên quan tới nhiệt
infectious 		 		(adj)	lây nhiễm, lan truyền
oil spill 		 		 	tràn dầu (n.p)
 
Unit 7. FURTHER EDUCATION - KEY
abroad 		 		(adv) 	ở nước ngoài
academic 	 		(adj) 	thuộc về hoặc liên quan đến giáo dục, việc học tập, mang tính học thuật
accommodation  	(n) 	tiện nghi ăn ở, chỗ ăn ở 
achieve 	 		(v) 	đạt được 
admission 	 		(n) 	sự vào hoặc được nhận vào một trường học 
analytical 	 		(adj) 	(thuộc) phân tích 
baccalaureate 	 		(n) 	kì thi tú tài 
bachelor 	 		(n) 	người có bằng cử nhân 
broaden 	 		(n) 	mở rộng, nới rộng
campus 	 		(n) 	khu trường sở, sân bãi (của các trường trung học, đại học) 
collaboration 	 	(n) 	cộng tác 
college 	 		(n) 	trường cao đẳng hoặc trường chuyên nghiệp
consult 	 		(v) 	hỏi ý kiến, tra cứu, tham khảo
coordinator 	 	(n)	người điều phối, điều phối viên
course 		 			(n) 	khóa học, chương trình học
critical 	 		(adj) 	thuộc bình phẩm, phê bình 
CV 		 		(n) 	viết tắt của curriculum vitae, bản tóm tắt quá trình hoạt động của một người (thường nộp theo đơn xin việc); bản lí lịch
dean 		 			(n) 	chủ nhiệm khoa (một trường đại học)
degree 		 		(n) 	học vị, bằng cấp 
diploma 	 		(n) 	bằng cấp, văn bằng 
doctorate 	 		(n) 	học vị tiến sĩ 
eligible 	 		(adj) 	đủ tư cách, thích hợp 
enrol 		 		(v) 	ghi danh 
enter 		 		(v) 	gia nhập, theo học một trường
faculty 		 	(n) 	khoa (của một trường đại học)
institution 	 		(n) 	viện, trường đại học
internship 	 		(n) 	giai đoạn thực tập
kindergarten 	 		(n) 	trường mẫu giáo ( cho trẻ 4 - 6 tuổi)
major 		 		(n) 	môn học chính của sinh viên, chuyên ngành 
mandatory 	 		(a)	có tính bắt buộc 
Master 	 		(n)	thạc sĩ 
passion 	 		(n) 	sự say mê, niềm say mê 
potential 	 		(n) 	khả năng, tiềm lực 
profession 	 		(n) 	nghề, nghề nghiệp 
pursue 				(v) 	đeo đuổi 
qualification 	 	(n) 	văn bằng, học vị, chứng chỉ 
scholarship 	 		(n)	học bổng 
skill 		 			(n)	kĩ năng 
talent 		 		(n) 	tài năng, năng lực, nhân tài 
training 	 		(n) 	rèn luyện, đào tạo 
