Unit 6. LOBAL WARMING
absorb	thấm, hút (v)
atmosphere	khí quyển (n)
awareness	sự nhận thức, hiểu biết, quan tâm (n)
ban	cấm (v)
capture	lưu lại, giam giữ lại (v)
carbon footprint	lượng khí CO, thải ra hằng ngày của một cá nhân hoặc nhà máy... (n)
catastrophic	thảm họa (adj)
clean-up	sự dọn dẹp, làm sạch, tổng vệ sinh (n)
climate change	biến đổi khí hậu (n)
diversity	sự đa dạng (n)
drought	hạn hán (n)
ecological	thuộc về sinh thái (adj)
ecosystem	hệ sinh thái (n)
emission	(danh từ không đếm được) sự phát (sáng), tỏa (nhiệt), xả (khí) (n)
famine	nạn đói kém (n)
greenhouse gas	chất khí gây hiệu ứng nhà kính (n)
heat-related	có liên quan tới nhiệt (adj)
infectious	lây nhiễm, lan truyền (adj)
oil spill	(n.p) tràn dầu
Unit 7. FURTHER EDUCATION - KEY
abroad	ở nước ngoài (adv)
academic	thuộc về hoặc liên quan đến giáo dục, việc học tập, mang tính học thuật (adj)
accommodation	tiện nghi ăn ở, chỗ ăn ở (n)
achieve	đạt được (v)
admission	sự vào hoặc được nhận vào một trường học (n)
analytical	(thuộc) phân tích (adj)
baccalaureate	kì thi tú tài (n)
bachelor	người có bằng cử nhân (n)
broaden	mở rộng, nới rộng (n)
campus	khu trường sở, sân bãi (của các trường trung học, đại học) (n)
collaboration	cộng tác (n)
college	trường cao đẳng hoặc trường chuyên nghiệp (n)
consult	hỏi ý kiến, tra cứu, tham khảo (v)
coordinator	người điều phối, điều phối viên (n)
course	khóa học, chương trình học (n)
critical	thuộc bình phẩm, phê bình (adj)
CV	viết tắt của curriculum vitae, bản tóm tắt quá trình hoạt động của một người (thường nộp theo đơn xin việc); bản lí lịch (n)
dean	chủ nhiệm khoa (một trường đại học) (n)
degree	học vị, bằng cấp (n)
diploma	bằng cấp, văn bằng (n)
doctorate	học vị tiến sĩ (n)
eligible	đủ tư cách, thích hợp (adj)
enrol	ghi danh (v)
enter	gia nhập, theo học một trường (v)
faculty	khoa (của một trường đại học) (n)
institution	viện, trường đại học (n)
internship	giai đoạn thực tập (n)
kindergarten	trường mẫu giáo ( cho trẻ 4 - 6 tuổi) (n)
major	môn học chính của sinh viên, chuyên ngành (n)
mandatory	có tính bắt buộc (a)
Master	thạc sĩ (n)
passion	sự say mê, niềm say mê (n)
potential	khả năng, tiềm lực (n)
profession	nghề, nghề nghiệp (n)
pursue	đeo đuổi (v)
qualification	văn bằng, học vị, chứng chỉ (n)
scholarship	học bổng (n)
